PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,
6,2026/2/20,1,1,宮城,Left,4,Left,0,0,0,Fastball,BallCalled,,,138,
7,2026/2/20,1,2,宮城,Left,4,Left,0,1,0,Fastball,BallCalled,,,140,
8,2026/2/20,1,3,宮城,Left,4,Left,0,2,0,Fastball,BallCalled,,,139,
9,2026/2/20,1,4,宮城,Left,4,Left,0,3,0,Fastball,StrikeCalled,,,141,
10,2026/2/20,1,5,宮城,Left,4,Left,0,3,1,Fastball,BallCalled,Walk,,138,
11,2026/2/20,2,1,宮城,Left,5,Right,0,0,0,Fastball,BallCalled,,,137,
12,2026/2/20,2,2,宮城,Left,5,Right,0,1,0,Splitter,BallCalled,,,129,
13,2026/2/20,2,3,宮城,Left,5,Right,0,2,0,Fastball,FoulBallFieldable,,,138,
14,2026/2/20,2,4,宮城,Left,5,Right,0,2,1,Splitter,BallCalled,,,127,
15,2026/2/20,2,5,宮城,Left,5,Right,0,3,1,Fastball,BallCalled,Walk,,139,
16,2026/2/20,3,1,宮城,Left,6,Left,0,0,0,Cutter,StrikeSwinging,,,128,
17,2026/2/20,3,2,宮城,Left,6,Left,0,0,1,Cutter,StrikeCalled,,,128,
18,2026/2/20,3,3,宮城,Left,6,Left,0,0,2,Fastball,BallCalled,,,140,
19,2026/2/20,3,4,宮城,Left,6,Left,0,1,2,Cutter,FoulBallFieldable,,,127,
20,2026/2/20,3,5,宮城,Left,6,Left,0,1,2,Cutter,BallCalled,,,128,
21,2026/2/20,3,6,宮城,Left,6,Left,0,2,2,Splitter,StrikeCalled,Strikeout,,126,
22,2026/2/20,4,1,宮城,Left,7,Right,1,0,0,Fastball,BallCalled,,,140,
23,2026/2/20,4,2,宮城,Left,7,Right,1,1,0,Fastball,BallCalled,,,136,
24,2026/2/20,4,3,宮城,Left,7,Right,1,2,0,Fastball,InPlay,Out,FlyBall,139,
25,2026/2/20,5,1,宮城,Left,8,Left,2,0,0,Fastball,StrikeCalled,,,140,
26,2026/2/20,5,2,宮城,Left,8,Left,2,0,1,Cutter,InPlay,Single,LineDrive,130,
