PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
75,2026/3/23,3,3,宮城,Left,5,Right,1,1,1,Fastball,FoulBallFieldable,136,,,
76,2026/3/23,3,4,宮城,Left,5,Right,1,1,2,Fastball,InPlay,139,Single,GroundBall,
77,2026/3/23,4,1,宮城,Left,6,Right,1,0,0,Slider,FoulBallFieldable,,,,
78,2026/3/23,4,2,宮城,Left,6,Right,1,0,1,Fastball,BallCalled,,,,
79,2026/3/23,4,3,宮城,Left,6,Right,1,1,1,Splitter,BallCalled,128,,,
80,2026/3/23,4,4,宮城,Left,6,Right,1,2,1,Splitter,BallCalled,128,,,
81,2026/3/23,4,5,宮城,Left,6,Right,1,3,1,Fastball,BallCalled,,Walk,,
82,2026/3/23,5,1,宮城,Left,7,Right,1,0,0,Splitter,BallCalled,,,,
83,2026/3/23,5,2,宮城,Left,7,Right,1,1,0,Fastball,BallCalled,136,,,
84,2026/3/23,5,3,宮城,Left,7,Right,1,2,0,Fastball,FoulBallFieldable,136,,,
85,2026/3/23,5,4,宮城,Left,7,Right,1,2,1,Fastball,BallCalled,137,,,
86,2026/3/23,5,5,宮城,Left,7,Right,1,3,1,Splitter,BallCalled,125,Walk,,
87,2026/3/23,6,1,宮城,Left,8,Right,1,0,0,Fastball,StrikeCalled,136,,,
88,2026/3/23,6,2,宮城,Left,8,Right,1,0,1,Fastball,FoulBallFieldable,140,,,
89,2026/3/23,6,3,宮城,Left,8,Right,1,0,2,Fastball,StrikeCalled,140,Strikeout,,
90,2026/3/23,7,1,宮城,Left,9,Right,2,0,0,Cutter,BallCalled,127,,,
91,2026/3/23,7,2,宮城,Left,9,Right,2,1,0,Fastball,InPlay,139,Single,LineDrive,
92,2026/3/23,8,1,宮城,Left,1,Left,2,0,0,Slider,StrikeSwinging,119,,,
93,2026/3/23,8,2,宮城,Left,1,Left,2,0,1,Slider,BallCalled,,,,
94,2026/3/23,8,3,宮城,Left,1,Left,2,1,1,Splitter,BallCalled,130,,,
95,2026/3/23,8,4,宮城,Left,1,Left,2,2,1,Slider,InPlay,119,Single,LineDrive,
96,2026/3/23,9,1,宮城,Left,2,Left,2,0,0,Fastball,StrikeSwinging,132,,,
97,2026/3/23,9,2,宮城,Left,2,Left,2,0,1,Fastball,InPlay,132,Error,GroundBall,
98,2026/3/23,1,1,宮城,Left,3,Left,2,0,0,Slider,StrikeCalled,,,,
99,2026/3/23,1,2,宮城,Left,3,Left,2,0,1,Fastball,StrikeSwinging,140,,,
100,2026/3/23,1,3,宮城,Left,3,Left,2,0,2,Slider,FoulBallFieldable,125,,,
101,2026/3/23,1,4,宮城,Left,3,Left,2,0,2,Slider,BallCalled,123,,,
102,2026/3/23,1,5,宮城,Left,3,Left,2,1,2,Cutter,BallCalled,128,,,
103,2026/3/23,1,6,宮城,Left,3,Left,2,2,2,Slider,StrikeSwinging,123,Strikeout,,
1,2026/3/23,1,1,越井,Right,4,Left,0,0,0,Fastball,BallCalled,,,,
2,2026/3/23,1,2,越井,Right,4,Left,0,1,0,Fastball,InPlay,139,Out,FlyBall,
3,2026/3/23,2,1,越井,Right,5,Left,1,0,0,Cutter,StrikeCalled,133,,,
4,2026/3/23,2,2,越井,Right,5,Left,1,0,1,Fastball,BallCalled,143,,,
5,2026/3/23,2,3,越井,Right,5,Left,1,1,1,Cutter,BallCalled,131,,,
6,2026/3/23,2,4,越井,Right,5,Left,1,2,1,Fastball,FoulBallFieldable,141,,,
7,2026/3/23,2,5,越井,Right,5,Left,1,2,2,Fastball,StrikeCalled,143,Strikeout,,
8,2026/3/23,3,1,越井,Right,6,Right,2,0,0,Slider,InPlay,117,Out,Bunt,
9,2026/3/23,1,1,越井,Right,7,Right,0,0,0,Curveball,InPlay,104,Out,FlyBall,
10,2026/3/23,2,1,越井,Right,8,Right,1,0,0,Fastball,StrikeCalled,144,,,
11,2026/3/23,2,2,越井,Right,8,Right,1,0,1,Slider,StrikeSwinging,119,,,
12,2026/3/23,2,3,越井,Right,8,Right,1,0,2,Slider,BallCalled,121,,,
13,2026/3/23,2,4,越井,Right,8,Right,1,1,2,Fastball,StrikeSwinging,145,Strikeout,,
14,2026/3/23,3,1,越井,Right,9,Right,2,0,0,Slider,StrikeSwinging,127,,,
15,2026/3/23,3,2,越井,Right,9,Right,2,0,1,Slider,InPlay,125,Out,FlyBall,
16,2026/3/23,1,1,越井,Right,1,Left,0,0,0,Fastball,StrikeCalled,143,,,
