PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
8,2026/9/1,2,2,田中,Right,6,Right,1,0,1,Fastball,StrikeSwinging,140,,,
9,2026/9/1,2,3,田中,Right,6,Right,1,0,2,Fastball,StrikeSwinging,141,Out,,
10,2026/9/1,3,1,田中,Right,7,Left,2,0,0,ChangeUp,FoulBallFieldable,-,,,
11,2026/9/1,3,2,田中,Right,7,Left,2,0,1,Fastball,BallCalled,-,,,
12,2026/9/1,3,3,田中,Right,7,Left,2,1,1,Fastball,FoulBallFieldable,,,,
13,2026/9/1,3,4,田中,Right,7,Left,2,1,2,ChangeUp,StrikeSwinging,-,Out,,
14,2026/9/1,1,1,田中,Right,8,Left,0,0,0,Splitter,StrikeSwinging,123,,,
15,2026/9/1,1,2,田中,Right,8,Left,0,0,1,Splitter,InPlay,127,Out,GroundBall,
16,2026/9/1,2,1,田中,Right,9,Right,1,0,0,Slider,StrikeSwinging,125,,,
17,2026/9/1,2,2,田中,Right,9,Right,1,0,1,Cutter,InPlay,131,Out,GroundBall,
18,2026/9/1,3,1,田中,Right,1,Right,2,0,0,Fastball,BallCalled,-,,,
19,2026/9/1,3,2,田中,Right,1,Right,2,1,0,Fastball,StrikeCalled,-,,,
20,2026/9/1,3,3,田中,Right,1,Right,2,1,1,Cutter,StrikeCalled,127,,,
21,2026/9/1,3,4,田中,Right,1,Right,2,1,2,Fastball,BallCalled,142,,,
22,2026/9/1,3,5,田中,Right,1,Right,2,2,2,Fastball,BallCalled,140,,,
23,2026/9/1,3,6,田中,Right,1,Right,2,3,2,Slider,InPlay,-,Single,GroundBall,
24,2026/9/1,4,1,田中,Right,2,Right,2,0,0,Splitter,BallCalled,-,,,
25,2026/9/1,4,2,田中,Right,2,Right,2,1,0,Fastball,StrikeCalled,138,,,
26,2026/9/1,4,3,田中,Right,2,Right,2,1,1,Fastball,InPlay,139,Out,FlyBall,
1,2026/9/1,1,1,山田翔,Left,3,Right,0,0,0,Slider,FoulBallFieldable,115,,,
2,2026/9/1,1,2,山田翔,Left,3,Right,0,0,1,Fastball,InPlay,129,Out,GroundBall,
3,2026/9/1,2,1,山田翔,Left,4,Right,1,0,0,Fastball,BallCalled,131,,,
4,2026/9/1,2,2,山田翔,Left,4,Right,1,1,0,Fastball,StrikeCalled,130,,,
5,2026/9/1,2,3,山田翔,Left,4,Right,1,1,1,Slider,BallCalled,118,,,
6,2026/9/1,2,4,山田翔,Left,4,Right,1,2,1,Slider,InPlay,116,Out,GroundBall,
7,2026/9/1,3,1,山田翔,Left,5,Right,2,0,0,Slider,FoulBallFieldable,118,,,
8,2026/9/1,3,2,山田翔,Left,5,Right,2,0,1,Slider,FoulBallFieldable,121,,,
9,2026/9/1,3,3,山田翔,Left,5,Right,2,0,2,Fastball,BallCalled,131,,,
10,2026/9/1,3,4,山田翔,Left,5,Right,2,1,2,Fastball,BallCalled,132,,,
11,2026/9/1,3,5,山田翔,Left,5,Right,2,2,2,Slider,InPlay,116,Out,FlyBall,
1,2026/9/1,1,1,山﨑,Right,6,Right,0,0,0,Fastball,FoulBallFieldable,141,,,
2,2026/9/1,1,2,山﨑,Right,6,Right,0,0,1,Fastball,FoulBallFieldable,141,,,
3,2026/9/1,1,3,山﨑,Right,6,Right,0,0,2,Curveball,FoulBallFieldable,113,,,
4,2026/9/1,1,4,山﨑,Right,6,Right,0,0,2,Slider,BallCalled,123,,,
5,2026/9/1,1,5,山﨑,Right,6,Right,0,1,2,Fastball,BallCalled,142,,,
6,2026/9/1,1,6,山﨑,Right,6,Right,0,2,2,Slider,StrikeSwinging,113,Out,,
7,2026/9/1,2,1,山﨑,Right,7,Left,1,0,0,Slider,BallCalled,121,,,
8,2026/9/1,2,2,山﨑,Right,7,Left,1,1,0,Fastball,BallCalled,137,,,
9,2026/9/1,2,3,山﨑,Right,7,Left,1,2,0,Fastball,BallCalled,139,,,
10,2026/9/1,2,4,山﨑,Right,7,Left,1,3,0,Fastball,BallCalled,140,Walk,,
11,2026/9/1,3,5,山﨑,Right,7,Left,1,0,0,Fastball,BallCalled,137,HitByPitch,,
12,2026/9/1,4,1,山﨑,Right,8,Right,1,0,0,Fastball,StrikeCalled,141,,,
13,2026/9/1,4,2,山﨑,Right,8,Left,1,0,1,Fastball,InPlay,141,Out,FlyBall,
14,2026/9/1,5,1,山﨑,Right,9,Right,2,0,0,Curveball,BallCalled,110,,,
15,2026/9/1,5,2,山﨑,Right,9,Right,2,1,0,Fastball,BallCalled,140,,,
16,2026/9/1,5,3,山﨑,Right,9,Right,2,2,0,Fastball,FoulBallFieldable,141,,,
17,2026/9/1,5,4,山﨑,Right,9,Right,2,2,1,Slider,BallCalled,120,,,
18,2026/9/1,5,5,山﨑,Right,9,Right,2,3,1,Slider,FoulBallFieldable,118,,,
19,2026/9/1,5,6,山﨑,Right,9,Right,2,3,2,Fastball,StrikeSwinging,141,Out,,
