PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
3,2026/9/8,1,3,安田,Right,6,Right,0,1,1,Fastball,InPlay,141,Double,FlyBall,
4,2026/9/8,2,1,安田,Right,7,Left,0,0,0,TwoSeamFastball,FoulBallFieldable,122,,,
5,2026/9/8,2,2,安田,Right,7,Left,0,0,1,Fastball,StrikeCalled,141,,,
6,2026/9/8,2,3,安田,Right,7,Left,0,0,2,Fastball,BallCalled,140,,,
7,2026/9/8,2,4,安田,Right,7,Left,0,1,2,Fastball,InPlay,142,Out,GroundBall,
8,2026/9/8,3,1,安田,Right,8,Left,1,0,0,ChangeUp,InPlay,111,Single,GroundBall,
9,2026/9/8,4,1,安田,Right,9,Right,1,0,0,Fastball,FoulBallFieldable,133,,,
10,2026/9/8,4,2,安田,Right,9,Right,1,0,1,Fastball,BallCalled,141,,,
11,2026/9/8,4,3,安田,Right,9,Right,1,1,1,ChangeUp,BallCalled,121,,,
12,2026/9/8,4,4,安田,Right,9,Right,1,2,1,TwoSeamFastball,InPlay,121,Out,Bunt,
13,2026/9/8,5,1,安田,Right,1,Left,2,0,0,Fastball,BallCalled,141,,,
14,2026/9/8,5,2,安田,Right,1,Left,2,1,0,TwoSeamFastball,FoulBallFieldable,122,,,
15,2026/9/8,5,3,安田,Right,1,Left,2,1,1,Fastball,BallCalled,141,,,
16,2026/9/8,5,4,安田,Right,1,Left,2,2,1,Fastball,BallCalled,139,,,
17,2026/9/8,5,5,安田,Right,1,Left,2,3,1,ChangeUp,StrikeCalled,115,,,
18,2026/9/8,5,6,安田,Right,1,Left,2,3,2,TwoSeamFastball,FoulBallFieldable,121,,,
19,2026/9/8,5,7,安田,Right,1,Left,2,3,2,TwoSeamFastball,FoulBallFieldable,119,,,
20,2026/9/8,5,8,安田,Right,1,Left,2,3,2,TwoSeamFastball,InPlay,120,Out,FlyBall,
1,2026/9/8,1,1,今村,Right,2,Left,0,0,0,Cutter,BallCalled,131,,,
2,2026/9/8,1,2,今村,Right,2,Left,0,1,0,Fastball,FoulBallFieldable,140,,,
3,2026/9/8,1,3,今村,Right,2,Left,0,1,1,Splitter,FoulBallFieldable,130,,,
4,2026/9/8,1,4,今村,Right,2,Left,0,1,2,Fastball,BallCalled,140,,,
5,2026/9/8,1,5,今村,Right,2,Left,0,2,2,Cutter,BallCalled,131,,,
6,2026/9/8,1,6,今村,Right,2,Left,0,3,2,Fastball,InPlay,138,Single,LineDrive,
7,2026/9/8,2,1,今村,Right,3,Left,0,0,0,Fastball,BallCalled,135,,,
8,2026/9/8,2,2,今村,Right,3,Left,0,1,0,Splitter,FoulBallFieldable,132,,,
9,2026/9/8,2,3,今村,Right,3,Left,0,1,1,Slider,StrikeSwinging,122,,,
10,2026/9/8,2,4,今村,Right,3,Left,0,1,2,Slider,FoulBallFieldable,122,,,
11,2026/9/8,2,5,今村,Right,3,Left,0,1,2,Slider,FoulBallFieldable,118,,,
12,2026/9/8,2,6,今村,Right,3,Left,0,1,2,Fastball,BallCalled,142,,,
13,2026/9/8,2,7,今村,Right,3,Left,0,2,2,Cutter,BallCalled,130,,,
