PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
14,2026/7/19,5,1,千葉,Left,岩﨑遼,Right,2,0,0,Curveball,StrikeCalled,104,,,,
15,2026/7/19,5,2,千葉,Left,岩﨑遼,Right,2,0,1,Fastball,InPlay,124,Out,GroundBall,,
1,2026/7/19,1,1,安東,Right,野田,Left,0,0,0,Fastball,FoulBallFieldable,135,,,,
2,2026/7/19,1,2,安東,Right,野田,Left,0,0,1,Slider,BallCalled,124,,,,
3,2026/7/19,1,3,安東,Right,野田,Left,0,1,1,Fastball,BallCalled,135,,,,
4,2026/7/19,1,4,安東,Right,野田,Left,0,2,1,Fastball,FoulBallFieldable,135,,,,
5,2026/7/19,1,5,安東,Right,野田,Left,0,2,2,Fastball,InPlay,130,Out,FlyBall,,
6,2026/7/19,2,1,安東,Right,石松,Left,1,0,0,Splitter,StrikeCalled,,,,,
7,2026/7/19,2,2,安東,Right,石松,Left,1,0,1,Fastball,BallCalled,138,,,,
8,2026/7/19,2,3,安東,Right,石松,Left,1,1,1,Splitter,InPlay,129,Out,GroundBall,,
9,2026/7/19,3,1,安東,Right,古田,Right,2,0,0,Slider,StrikeCalled,117,,,,
10,2026/7/19,3,2,安東,Right,古田,Right,2,0,1,Slider,BallCalled,118,,,,
11,2026/7/19,3,3,安東,Right,古田,Right,2,1,1,Fastball,BallCalled,133,,,,
12,2026/7/19,3,4,安東,Right,古田,Right,2,2,1,Fastball,BallCalled,,HitByPitch,,,
13,2026/7/19,4,1,安東,Right,山元,Right,2,0,0,Fastball,InPlay,133,Single,GroundBall,,
14,2026/7/19,5,1,安東,Right,小松騎,Right,2,0,0,Fastball,BallCalled,135,,,,
15,2026/7/19,5,2,安東,Right,小松騎,Right,2,1,0,Slider,InPlay,124,HomeRun,FlyBall,,
16,2026/7/19,6,1,安東,Right,西谷,Left,2,0,0,Splitter,FoulBallFieldable,127,,,,
17,2026/7/19,6,2,安東,Right,西谷,Left,2,0,1,Fastball,BallCalled,,,,,
18,2026/7/19,6,3,安東,Right,西谷,Left,2,1,1,Splitter,StrikeSwinging,129,,,,
19,2026/7/19,6,4,安東,Right,西谷,Left,2,1,2,Fastball,BallCalled,131,,,,
20,2026/7/19,6,5,安東,Right,西谷,Left,2,2,2,Splitter,StrikeSwinging,127,Strikeout,,,
1,2026/7/19,1,1,矢後,Right,小室,Right,0,0,0,Fastball,BallCalled,128,,,,
2,2026/7/19,1,2,矢後,Right,小室,Right,0,1,0,Fastball,InPlay,128,Error,GroundBall,,
3,2026/7/19,2,1,矢後,Right,津田,Left,0,0,0,Slider,BallCalled,114,,,,
4,2026/7/19,2,2,矢後,Right,津田,Left,0,1,0,Fastball,StrikeCalled,137,,,,
5,2026/7/19,2,3,矢後,Right,津田,Left,0,1,1,Fastball,FoulBallFieldable,138,,,,
6,2026/7/19,2,4,矢後,Right,津田,Left,0,1,2,Slider,BallCalled,115,,,,
7,2026/7/19,2,5,矢後,Right,津田,Left,0,2,2,Fastball,BallCalled,139,,,,
8,2026/7/19,2,6,矢後,Right,津田,Left,0,3,2,Fastball,FoulBallFieldable,139,,,,
9,2026/7/19,2,7,矢後,Right,津田,Left,0,3,2,Fastball,InPlay,140,Out,FlyBall,,
10,2026/7/19,3,1,矢後,Right,黒須,Left,1,0,0,Slider,BallCalled,115,,,,
11,2026/7/19,3,2,矢後,Right,黒須,Left,1,1,0,Fastball,StrikeCalled,138,,,,
12,2026/7/19,3,3,矢後,Right,黒須,Left,1,1,1,Fastball,FoulBallFieldable,148,,,,
13,2026/7/19,3,4,矢後,Right,黒須,Left,1,1,2,Slider,FoulBallFieldable,116,,,,
14,2026/7/19,3,5,矢後,Right,黒須,Left,1,1,2,Fastball,FoulBallFieldable,137,,,,
15,2026/7/19,3,6,矢後,Right,黒須,Left,1,1,2,Fastball,FoulBallFieldable,138,,,,
16,2026/7/19,3,7,矢後,Right,黒須,Left,1,1,2,Slider,BallCalled,117,,,,
17,2026/7/19,3,8,矢後,Right,黒須,Left,1,2,2,Fastball,FoulBallFieldable,138,,,,
18,2026/7/19,3,9,矢後,Right,黒須,Left,1,2,2,Splitter,InPlay,122,Out,FlyBall,,
19,2026/7/19,4,1,矢後,Right,中村吏,Right,2,0,0,Fastball,InPlay,136,Single,GroundBall,,
20,2026/7/19,5,1,矢後,Right,大平,Right,2,0,0,Slider,StrikeSwinging,112,,,,
21,2026/7/19,5,2,矢後,Right,大平,Right,2,0,1,Curveball,BallCalled,111,,,,
22,2026/7/19,5,3,矢後,Right,大平,Right,2,1,1,Fastball,InPlay,134,Single,GroundBall,,
23,2026/7/19,6,1,矢後,Right,片岡,Left,2,0,0,Fastball,BallCalled,139,,,,
24,2026/7/19,6,2,矢後,Right,片岡,Left,2,1,0,Slider,BallCalled,118,,,,
25,2026/7/19,6,3,矢後,Right,片岡,Left,2,2,0,Fastball,StrikeCalled,138,,,,
26,2026/7/19,6,4,矢後,Right,片岡,Left,2,2,1,Fastball,BallCalled,139,,,,
27,2026/7/19,6,5,矢後,Right,片岡,Left,2,3,1,Fastball,StrikeCalled,137,,,,
28,2026/7/19,6,6,矢後,Right,片岡,Left,2,3,2,Fastball,BallCalled,137,Walk,,,
29,2026/7/19,7,1,矢後,Right,渡邊康,Right,2,0,0,Slider,StrikeCalled,117,,,,
30,2026/7/19,7,2,矢後,Right,渡邊康,Right,2,0,1,Curveball,BallCalled,108,,,,
31,2026/7/19,7,3,矢後,Right,渡邊康,Right,2,1,1,Fastball,StrikeCalled,134,,,,
32,2026/7/19,7,4,矢後,Right,渡邊康,Right,2,1,2,Slider,InPlay,117,Out,GroundBall,,
1,2026/7/19,1,1,毛木,Left,荘川,Left,0,0,0,Slider,BallCalled,,,,,
