PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
13,2026/7/19,4,3,毛木,Left,野田,Left,1,0,2,Fastball,StrikeCalled,123,Strikeout,,,
14,2026/7/19,5,1,毛木,Left,石松,Left,2,0,0,Fastball,BallCalled,124,,,,
15,2026/7/19,5,2,毛木,Left,石松,Left,2,1,0,Curveball,BallCalled,62,,,,
16,2026/7/19,5,3,毛木,Left,石松,Left,2,2,0,Fastball,StrikeCalled,124,,,,
17,2026/7/19,5,4,毛木,Left,石松,Left,2,2,1,Fastball,InPlay,123,Error,GroundBall,,
18,2026/7/19,6,1,毛木,Left,古田,Right,2,0,0,Slider,StrikeCalled,101,,,,
19,2026/7/19,6,2,毛木,Left,古田,Right,2,0,1,Fastball,StrikeCalled,,,,,
20,2026/7/19,6,3,毛木,Left,古田,Right,2,0,2,Splitter,StrikeSwinging,111,Strikeout,,,
1,2026/7/19,1,1,矢後,Right,茨木,Left,0,0,0,Fastball,StrikeCalled,134,,,,
2,2026/7/19,1,2,矢後,Right,茨木,Left,0,0,1,Splitter,InPlay,117,Single,GroundBall,,
3,2026/7/19,2,1,矢後,Right,岩﨑遼,Right,0,0,0,Fastball,BallCalled,,,,,
4,2026/7/19,2,2,矢後,Right,岩﨑遼,Right,0,1,0,Fastball,BallCalled,136,,,,
5,2026/7/19,2,3,矢後,Right,岩﨑遼,Right,0,2,0,Fastball,BallCalled,138,,,,
6,2026/7/19,2,4,矢後,Right,岩﨑遼,Right,0,3,0,Fastball,StrikeCalled,136,,,,
7,2026/7/19,2,5,矢後,Right,岩﨑遼,Right,0,3,1,Fastball,StrikeCalled,134,,,,
8,2026/7/19,2,6,矢後,Right,岩﨑遼,Right,0,3,2,Fastball,FoulBallFieldable,137,,,,
9,2026/7/19,2,7,矢後,Right,岩﨑遼,Right,0,3,2,Fastball,BallCalled,138,Walk,,,
10,2026/7/19,3,1,矢後,Right,小室,Right,0,0,0,Splitter,StrikeCalled,125,,,,
11,2026/7/19,3,2,矢後,Right,小室,Right,0,0,1,Curveball,StrikeCalled,109,,,,
12,2026/7/19,3,3,矢後,Right,小室,Right,0,0,2,Curveball,FoulBallFieldable,112,,,,
13,2026/7/19,3,4,矢後,Right,小室,Right,0,0,2,Fastball,StrikeCalled,129,Strikeout,,,
14,2026/7/19,4,1,矢後,Right,津田,Left,1,0,0,Fastball,StrikeCalled,138,,,,
15,2026/7/19,4,2,矢後,Right,津田,Left,1,0,1,Slider,InPlay,117,Error,GroundBall,,
16,2026/7/19,5,1,矢後,Right,黒須,Left,1,0,0,Fastball,FoulBallFieldable,136,,,,
17,2026/7/19,5,2,矢後,Right,黒須,Left,1,0,1,Slider,StrikeCalled,114,,,,
18,2026/7/19,5,3,矢後,Right,黒須,Left,1,0,2,Splitter,BallCalled,121,,,,
19,2026/7/19,5,4,矢後,Right,黒須,Left,1,1,2,Splitter,InPlay,121,Error,GroundBall,,
20,2026/7/19,6,1,矢後,Right,中村吏,Right,1,0,0,Curveball,StrikeCalled,110,,,,
21,2026/7/19,6,2,矢後,Right,中村吏,Right,1,0,1,Fastball,BallCalled,,,,,
22,2026/7/19,6,3,矢後,Right,中村吏,Right,1,1,1,Curveball,BallCalled,114,,,,
23,2026/7/19,6,4,矢後,Right,中村吏,Right,1,2,1,Fastball,InPlay,130,Out,GroundBall,,
24,2026/7/19,7,1,矢後,Right,大平,Right,2,0,0,Slider,StrikeCalled,115,,,,
25,2026/7/19,7,2,矢後,Right,大平,Right,2,0,1,Slider,InPlay,116,Out,GroundBall,,
1,2026/7/19,1,1,毛木,Left,山元,Right,0,0,0,Slider,StrikeCalled,97,,,,
2,2026/7/19,1,2,毛木,Left,山元,Right,0,0,1,Curveball,StrikeCalled,83,,,,
3,2026/7/19,1,3,毛木,Left,山元,Right,0,0,2,Curveball,InPlay,88,Out,GroundBall,,
4,2026/7/19,2,1,毛木,Left,小松騎,Right,1,0,0,Fastball,StrikeCalled,124,,,,
5,2026/7/19,2,2,毛木,Left,小松騎,Right,1,0,1,Curveball,StrikeCalled,87,,,,
6,2026/7/19,2,3,毛木,Left,小松騎,Right,1,0,2,Curveball,InPlay,85,Error,GroundBall,,
7,2026/7/19,3,1,毛木,Left,西谷,Left,1,0,0,Curveball,BallCalled,84,,,,
8,2026/7/19,3,2,毛木,Left,西谷,Left,1,1,0,Fastball,InPlay,121,Triple,LineDrive,,
9,2026/7/19,4,1,毛木,Left,荘川,Left,1,0,0,Fastball,BallCalled,,,,,
10,2026/7/19,4,2,毛木,Left,荘川,Left,1,1,0,Slider,StrikeSwinging,99,,,,
11,2026/7/19,4,3,毛木,Left,荘川,Left,1,1,1,Slider,BallCalled,98,,,,
12,2026/7/19,4,4,毛木,Left,荘川,Left,1,2,1,Fastball,BallCalled,,,,,
13,2026/7/19,4,5,毛木,Left,荘川,Left,1,3,1,Fastball,FoulBallFieldable,124,,,,
14,2026/7/19,4,6,毛木,Left,荘川,Left,1,3,2,Fastball,BallCalled,,Walk,,,
15,2026/7/19,5,1,毛木,Left,江﨑,Left,1,0,0,Fastball,BallCalled,122,,,,
16,2026/7/19,5,2,毛木,Left,江﨑,Left,1,1,0,Slider,StrikeCalled,98,,,,
17,2026/7/19,5,3,毛木,Left,江﨑,Left,1,1,1,Slider,BallCalled,100,,,,
18,2026/7/19,5,4,毛木,Left,江﨑,Left,1,2,1,Fastball,FoulBallFieldable,,,,,
19,2026/7/19,5,5,毛木,Left,江﨑,Left,1,2,2,Slider,InPlay,100,Out,FlyBall,,
20,2026/7/19,6,1,毛木,Left,湯浅,Right,2,0,0,Curveball,BallCalled,85,,,,
21,2026/7/19,6,2,毛木,Left,湯浅,Right,2,1,0,Fastball,BallCalled,124,,,,
22,2026/7/19,6,3,毛木,Left,湯浅,Right,2,2,0,Curveball,BallCalled,89,,,,
23,2026/7/19,6,4,毛木,Left,湯浅,Right,2,3,0,Fastball,FoulBallFieldable,124,,,,
24,2026/7/19,6,5,毛木,Left,湯浅,Right,2,3,1,Fastball,InPlay,124,Single,GroundBall,,
25,2026/7/19,7,1,毛木,Left,野田,Left,2,0,0,Slider,StrikeCalled,99,,,,
26,2026/7/19,7,2,毛木,Left,野田,Left,2,0,1,Fastball,FoulBallFieldable,,,,,
27,2026/7/19,7,3,毛木,Left,野田,Left,2,0,2,Slider,InPlay,,Single,GroundBall,,
28,2026/7/19,8,1,毛木,Left,石松,Left,2,0,0,Slider,FoulBallFieldable,98,,,,
29,2026/7/19,8,2,毛木,Left,石松,Left,2,0,1,Fastball,BallCalled,125,,,,
30,2026/7/19,8,3,毛木,Left,石松,Left,2,1,1,Fastball,BallCalled,121,,,,
31,2026/7/19,8,4,毛木,Left,石松,Left,2,2,1,Slider,FoulBallFieldable,100,,,,
32,2026/7/19,8,5,毛木,Left,石松,Left,2,2,2,Fastball,FoulBallFieldable,125,,,,
33,2026/7/19,8,6,毛木,Left,石松,Left,2,2,2,Slider,BallCalled,101,,,,
34,2026/7/19,8,7,毛木,Left,石松,Left,2,3,2,Fastball,FoulBallFieldable,121,,,,
35,2026/7/19,8,8,毛木,Left,石松,Left,2,3,2,Fastball,FoulBallFieldable,124,,,,
36,2026/7/19,8,9,毛木,Left,石松,Left,2,3,2,Fastball,BallCalled,,Walk,,,
1,2026/7/19,1,1,渡邊爽,Right,古田,Right,0,0,0,ChangeUp,BallCalled,118,,,,
2,2026/7/19,1,2,渡邊爽,Right,古田,Right,0,1,0,Slider,BallCalled,120,,,,
3,2026/7/19,1,3,渡邊爽,Right,古田,Right,0,2,0,Fastball,BallCalled,124,,,,
4,2026/7/19,1,4,渡邊爽,Right,古田,Right,0,3,0,Slider,BallCalled,121,Walk,,,
5,2026/7/19,2,1,渡邊爽,Right,山元,Right,0,0,0,Slider,FoulBallFieldable,119,,,,
6,2026/7/19,2,2,渡邊爽,Right,山元,Right,0,0,1,Fastball,FoulBallFieldable,119,,,,
7,2026/7/19,2,3,渡邊爽,Right,山元,Right,0,0,2,Fastball,BallCalled,122,,,,
8,2026/7/19,2,4,渡邊爽,Right,山元,Right,0,1,2,Fastball,StrikeCalled,122,Strikeout,,,
1,2026/7/19,1,1,矢後,Right,片岡,Left,0,0,0,Fastball,StrikeCalled,137,,,,
2,2026/7/19,1,2,矢後,Right,片岡,Left,0,0,1,Slider,StrikeCalled,118,,,,
3,2026/7/19,1,3,矢後,Right,片岡,Left,0,0,2,Fastball,BallCalled,138,,,,
4,2026/7/19,1,4,矢後,Right,片岡,Left,0,1,2,Slider,InPlay,118,Out,GroundBall,,
5,2026/7/19,2,1,矢後,Right,渡邊康,Right,1,0,0,Slider,StrikeCalled,114,,,,
6,2026/7/19,2,2,矢後,Right,渡邊康,Right,1,0,1,Slider,BallCalled,115,,,,
7,2026/7/19,2,3,矢後,Right,渡邊康,Right,1,1,1,Slider,BallCalled,117,,,,
8,2026/7/19,2,4,矢後,Right,渡邊康,Right,1,2,1,Splitter,StrikeSwinging,130,,,,
9,2026/7/19,2,5,矢後,Right,渡邊康,Right,1,2,2,Fastball,BallCalled,138,,,,
10,2026/7/19,2,6,矢後,Right,渡邊康,Right,1,3,2,Fastball,StrikeSwinging,134,Strikeout,,,
11,2026/7/19,3,1,矢後,Right,茨木,Left,2,0,0,Slider,BallCalled,115,,,,
12,2026/7/19,3,2,矢後,Right,茨木,Left,2,1,0,Fastball,BallCalled,139,,,,
13,2026/7/19,3,3,矢後,Right,茨木,Left,2,2,0,Fastball,BallCalled,134,,,,
14,2026/7/19,3,4,矢後,Right,茨木,Left,2,3,0,Fastball,StrikeCalled,134,,,,
15,2026/7/19,3,5,矢後,Right,茨木,Left,2,3,1,Fastball,StrikeCalled,138,,,,
16,2026/7/19,3,6,矢後,Right,茨木,Left,2,3,2,Fastball,InPlay,138,Out,GroundBall,,
