PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
17,2026/4/3,3,125,齋藤士,Right,,Right,1,1,1,Slider,BallCalled,129,,
18,2026/4/3,3,126,齋藤士,Right,,Right,1,2,1,Splitter,InPlay,131,Out,Popup
19,2026/4/3,4,127,齋藤士,Right,,Left,2,0,0,Fastball,StrikeCalled,146,,
20,2026/4/3,4,128,齋藤士,Right,,Left,2,0,1,Cutter,FoulBallFieldable,130,,
21,2026/4/3,4,129,齋藤士,Right,,Left,2,0,2,Fastball,FoulBallFieldable,145,,
22,2026/4/3,4,130,齋藤士,Right,,Left,2,0,2,Splitter,InPlay,133,Out,GroundBall
1,2026/4/3,1,131,佐宗,Left,,Left,0,0,0,Fastball,InPlay,140,Out,GroundBall
2,2026/4/3,2,132,佐宗,Left,,Right,1,0,0,Fastball,StrikeCalled,140,,
3,2026/4/3,2,133,佐宗,Left,,Right,1,0,1,TwoSeamFastball,BallCalled,132,,
4,2026/4/3,2,134,佐宗,Left,,Right,1,1,1,Fastball,StrikeSwinging,139,,
5,2026/4/3,2,135,佐宗,Left,,Right,1,1,2,Fastball,StrikeCalled,142,,
6,2026/4/3,2,136,佐宗,Left,,Right,1,1,2,Fastball,FoulBallFieldable,138,,
7,2026/4/3,2,137,佐宗,Left,,Right,1,1,2,TwoSeamFastball,InPlay,137,Single,LineDrive
8,2026/4/3,3,138,佐宗,Left,,Right,1,0,0,TwoSeamFastball,BallCalled,132,,
9,2026/4/3,3,139,佐宗,Left,,Right,1,1,0,Fastball,StrikeSwinging,139,,
10,2026/4/3,3,140,佐宗,Left,,Right,1,1,1,Fastball,InPlay,138,Out,FlyBall
1,2026/4/3,1,141,森山,Right,,Left,0,0,0,Fastball,StrikeCalled,141,,
2,2026/4/3,1,142,森山,Right,,Left,0,0,1,Fastball,BallCalled,137,,
3,2026/4/3,1,143,森山,Right,,Left,0,1,1,Fastball,StrikeCalled,142,,
4,2026/4/3,1,144,森山,Right,,Left,0,1,2,Fastball,BallCalled,141,,
5,2026/4/3,1,145,森山,Right,,Left,0,2,2,Fastball,InPlay,138,Double,GroundBall
6,2026/4/3,2,146,森山,Right,,Right,0,0,0,Fastball,BallCalled,140,HitByPitch,
7,2026/4/3,3,147,森山,Right,,Right,0,0,0,Fastball,BallCalled,139,,
8,2026/4/3,3,148,森山,Right,,Right,0,1,0,Fastball,StrikeCalled,140,,
9,2026/4/3,3,149,森山,Right,,Right,0,1,1,Fastball,FoulBallFieldable,139,,
10,2026/4/3,3,150,森山,Right,,Right,0,1,2,Fastball,FoulBallFieldable,140,,
11,2026/4/3,3,151,森山,Right,,Right,0,1,2,Fastball,InPlay,142,Single,LineDrive
12,2026/4/3,4,152,森山,Right,,Right,0,0,0,Fastball,InPlay,141,Out,GroundBall
13,2026/4/3,5,153,森山,Right,,Left,1,0,0,Fastball,FoulBallFieldable,143,,
14,2026/4/3,5,154,森山,Right,,Left,1,0,1,Slider,BallCalled,126,,
15,2026/4/3,5,155,森山,Right,,Left,1,1,1,Fastball,FoulBallFieldable,142,,
16,2026/4/3,5,156,森山,Right,,Left,1,1,2,Splitter,FoulBallFieldable,127,,
17,2026/4/3,5,157,森山,Right,,Left,1,1,2,Splitter,BallCalled,127,,
18,2026/4/3,5,158,森山,Right,,Left,1,2,2,Splitter,BallCalled,125,,
19,2026/4/3,5,159,森山,Right,,Left,1,3,2,Fastball,FoulBallFieldable,141,Triple,FlyBall
20,2026/4/3,6,160,森山,Right,,Left,1,0,0,Fastball,InPlay,140,Sacrifice,FlyBall
21,2026/4/3,7,161,森山,Right,,Right,2,0,0,Fastball,BallCalled,140,,
22,2026/4/3,7,162,森山,Right,,Right,2,1,0,Fastball,FoulBallFieldable,140,,
23,2026/4/3,7,163,森山,Right,,Right,2,1,1,Fastball,BallCalled,141,,
24,2026/4/3,7,164,森山,Right,,Right,2,2,1,Fastball,FoulBallFieldable,140,,
25,2026/4/3,7,165,森山,Right,,Right,2,2,2,Fastball,BallCalled,141,,
26,2026/4/3,7,166,森山,Right,,Right,2,3,2,Fastball,FoulBallFieldable,141,,
27,2026/4/3,7,167,森山,Right,,Right,2,3,2,Fastball,FoulBallFieldable,141,,
28,2026/4/3,7,168,森山,Right,,Right,2,3,2,Fastball,BallCalled,140,,
29,2026/4/3,7,169,森山,Right,,Right,2,0,2,Splitter,InPlay,132,Out,GroundBall
1,2026/4/3,1,170,香西,Left,,Right,0,0,0,Fastball,BallCalled,133,,
