PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
3,2026/7/11,1,3,千葉,Left,佐藤拓,Right,0,0,2,Fastball,BallCalled,121,,,,
4,2026/7/11,1,4,千葉,Left,佐藤拓,Right,0,1,2,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,千葉,Left,佐藤拓,Right,0,2,2,Fastball,InPlay,,Double,FlyBall,,
6,2026/7/11,2,1,千葉,Left,原口,Right,0,0,0,Curveball,BallCalled,100,,,,
7,2026/7/11,2,2,千葉,Left,原口,Right,0,1,0,Fastball,InPlay,116,Sacrifice,GroundBall,,
8,2026/7/11,3,1,千葉,Left,笠尾,Right,1,0,0,Slider,InPlay,105,Single,LineDrive,,
9,2026/7/11,4,1,千葉,Left,高崎,Right,1,0,0,Fastball,StrikeCalled,119,,,,
10,2026/7/11,4,2,千葉,Left,高崎,Right,1,0,1,Fastball,BallCalled,122,,,,
11,2026/7/11,4,3,千葉,Left,高崎,Right,1,1,1,Slider,StrikeCalled,103,,,,
12,2026/7/11,4,4,千葉,Left,高崎,Right,1,1,2,Slider,BallCalled,114,,,,
13,2026/7/11,4,5,千葉,Left,高崎,Right,1,2,2,Fastball,BallCalled,123,,,,
14,2026/7/11,4,6,千葉,Left,高崎,Right,1,3,2,Fastball,StrikeCalled,123,Strikeout,,,
15,2026/7/11,5,1,千葉,Left,奈良,Right,2,0,0,Curveball,BallCalled,89,,,,
16,2026/7/11,5,2,千葉,Left,奈良,Right,2,1,0,Fastball,FoulBallFieldable,118,,,,
17,2026/7/11,5,3,千葉,Left,奈良,Right,2,1,1,Slider,BallCalled,101,,,,
18,2026/7/11,5,4,千葉,Left,奈良,Right,2,2,1,Fastball,InPlay,114,Single,LineDrive,,
1,2026/7/11,1,1,足達,Right,片山,Left,0,0,0,Slider,InPlay,,Out,FlyBall,,
2,2026/7/11,2,1,足達,Right,石松,Left,1,0,0,Slider,StrikeCalled,107,,,,
3,2026/7/11,2,2,足達,Right,石松,Left,1,0,1,Cutter,BallCalled,118,,,,
4,2026/7/11,2,3,足達,Right,石松,Left,1,1,1,Slider,BallCalled,108,,,,
5,2026/7/11,2,4,足達,Right,石松,Left,1,2,1,Fastball,BallCalled,,,,,
6,2026/7/11,2,5,足達,Right,石松,Left,1,3,1,Fastball,BallCalled,127,Walk,,,
7,2026/7/11,3,1,足達,Right,風見,Right,1,0,0,Fastball,BallCalled,130,,,,
8,2026/7/11,3,2,足達,Right,風見,Right,1,1,0,Fastball,BallCalled,127,,,,
9,2026/7/11,3,3,足達,Right,風見,Right,1,2,0,Fastball,InPlay,128,Out,FlyBall,,
10,2026/7/11,4,1,足達,Right,野田,Left,2,0,0,Slider,StrikeCalled,102,,,,
11,2026/7/11,4,2,足達,Right,野田,Left,2,0,1,Slider,InPlay,119,Out,GroundBall,,
1,2026/7/11,1,1,千葉,Left,新井,Left,0,0,0,Curveball,BallCalled,100,,,,
2,2026/7/11,1,2,千葉,Left,新井,Left,0,1,0,Slider,StrikeCalled,105,,,,
3,2026/7/11,1,3,千葉,Left,新井,Left,0,1,1,,BallCalled,,,,,
4,2026/7/11,1,4,千葉,Left,新井,Left,0,2,1,Fastball,InPlay,122,Single,LineDrive,,
5,2026/7/11,2,1,千葉,Left,古田,Right,0,0,0,Fastball,BallCalled,119,,,,
6,2026/7/11,2,2,千葉,Left,古田,Right,0,1,0,Fastball,StrikeCalled,118,,,,
7,2026/7/11,2,3,千葉,Left,古田,Right,0,1,1,Fastball,InPlay,118,Single,LineDrive,,
8,2026/7/11,3,1,千葉,Left,國光,Left,0,0,0,Curveball,StrikeCalled,101,,,,
9,2026/7/11,3,2,千葉,Left,國光,Left,0,0,1,Fastball,InPlay,124,Out,GroundBall,,
10,2026/7/11,4,1,千葉,Left,豊田,Right,1,0,0,Slider,BallCalled,104,,,,
11,2026/7/11,4,2,千葉,Left,豊田,Right,1,1,0,Fastball,BallCalled,118,,,,
12,2026/7/11,4,3,千葉,Left,豊田,Right,1,2,0,Curveball,StrikeCalled,98,,,,
13,2026/7/11,4,4,千葉,Left,豊田,Right,1,2,1,Fastball,FoulBallFieldable,123,,,,
14,2026/7/11,4,5,千葉,Left,豊田,Right,1,2,2,Fastball,BallCalled,,,,,
15,2026/7/11,4,6,千葉,Left,豊田,Right,1,3,2,Fastball,BallCalled,,Walk,,,
16,2026/7/11,5,1,千葉,Left,佐藤拓,Right,1,0,0,Slider,BallCalled,,,,,
17,2026/7/11,5,2,千葉,Left,佐藤拓,Right,1,1,0,Fastball,BallCalled,123,,,,
18,2026/7/11,5,3,千葉,Left,佐藤拓,Right,1,2,0,Fastball,StrikeCalled,121,,,,
19,2026/7/11,5,4,千葉,Left,佐藤拓,Right,1,2,1,Fastball,InPlay,,Out,GroundBall,,
1,2026/7/11,1,1,足達,Right,小室,Right,0,0,0,Cutter,BallCalled,112,,,,
2,2026/7/11,1,2,足達,Right,小室,Right,0,1,0,Fastball,StrikeCalled,127,,,,
3,2026/7/11,1,3,足達,Right,小室,Right,0,1,1,Fastball,FoulBallFieldable,118,,,,
4,2026/7/11,1,4,足達,Right,小室,Right,0,1,2,Slider,BallCalled,108,,,,
5,2026/7/11,1,5,足達,Right,小室,Right,0,2,2,Slider,BallCalled,106,,,,
6,2026/7/11,1,6,足達,Right,小室,Right,0,3,2,Fastball,InPlay,,Out,GroundBall,,
7,2026/7/11,2,1,足達,Right,舟橋,Right,1,0,0,Cutter,FoulBallFieldable,111,,,,
8,2026/7/11,2,2,足達,Right,舟橋,Right,1,0,1,Fastball,BallCalled,,,,,
9,2026/7/11,2,3,足達,Right,舟橋,Right,1,1,1,Slider,InPlay,97,Out,FlyBall,,
10,2026/7/11,3,1,足達,Right,佐藤寛,Left,2,0,0,Fastball,InPlay,122,Single,GroundBall,,
11,2026/7/11,4,1,足達,Right,茨木,Left,2,0,0,Curveball,StrikeCalled,104,,,,
12,2026/7/11,4,2,足達,Right,茨木,Left,2,0,1,Slider,BallCalled,103,,,,
13,2026/7/11,4,3,足達,Right,茨木,Left,2,1,1,Cutter,StrikeCalled,115,,,,
