PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
11,2026/7/31,3,2,俵積田,Right,荘川,Left,2,1,0,Fastball,BallCalled,130,,,
12,2026/7/31,3,3,俵積田,Right,荘川,Left,2,2,0,Fastball,InPlay,,Out,GroundBall,
1,2026/7/31,1,1,岩﨑龍,Left,西谷,Left,0,0,0,Fastball,BallCalled,125,,,
2,2026/7/31,1,2,岩﨑龍,Left,西谷,Left,0,1,0,Cutter,FoulBallFieldable,118,,,
3,2026/7/31,1,3,岩﨑龍,Left,西谷,Left,0,1,1,Curveball,FoulBallFieldable,103,,,
4,2026/7/31,1,4,岩﨑龍,Left,西谷,Left,0,1,2,Cutter,FoulBallFieldable,121,,,
5,2026/7/31,1,5,岩﨑龍,Left,西谷,Left,0,1,2,Curveball,BallCalled,105,,,
6,2026/7/31,1,6,岩﨑龍,Left,西谷,Left,0,2,2,Fastball,StrikeCalled,129,Strikeout,,
7,2026/7/31,2,1,岩﨑龍,Left,金子,Right,1,0,0,Fastball,InPlay,129,Out,FlyBall,
8,2026/7/31,3,1,岩﨑龍,Left,舟橋,Right,2,0,0,Curveball,BallCalled,105,,,
9,2026/7/31,3,2,岩﨑龍,Left,舟橋,Right,2,1,0,Curveball,BallCalled,105,,,
10,2026/7/31,3,3,岩﨑龍,Left,舟橋,Right,2,2,0,ChangeUp,BallCalled,121,,,
11,2026/7/31,3,4,岩﨑龍,Left,舟橋,Right,2,3,0,ChangeUp,BallCalled,120,Walk,,
12,2026/7/31,4,1,岩﨑龍,Left,永田,Right,2,0,0,Fastball,StrikeCalled,131,,,
13,2026/7/31,4,2,岩﨑龍,Left,永田,Right,2,0,1,Cutter,FoulBallFieldable,123,,,
14,2026/7/31,4,3,岩﨑龍,Left,永田,Right,2,0,2,Fastball,FoulBallFieldable,130,,,
15,2026/7/31,4,4,岩﨑龍,Left,永田,Right,2,0,2,Curveball,FoulBallFieldable,106,,,
16,2026/7/31,4,5,岩﨑龍,Left,永田,Right,2,0,2,Cutter,FoulBallFieldable,123,,,
17,2026/7/31,4,6,岩﨑龍,Left,永田,Right,2,0,2,Fastball,InPlay,129,Out,GroundBall,
1,2026/7/31,1,1,俵積田,Right,高崎,Right,0,0,0,Slider,InPlay,114,Out,FlyBall,
2,2026/7/31,2,1,俵積田,Right,古田,Right,1,0,0,Cutter,StrikeCalled,,,,
3,2026/7/31,2,2,俵積田,Right,古田,Right,1,0,1,Slider,StrikeSwinging,118,,,
4,2026/7/31,2,3,俵積田,Right,古田,Right,1,0,2,Fastball,BallCalled,,,,
5,2026/7/31,2,4,俵積田,Right,古田,Right,1,1,2,ChangeUp,StrikeSwinging,,Strikeout,,
6,2026/7/31,3,1,俵積田,Right,細谷,Left,2,0,0,Fastball,StrikeCalled,132,,,
7,2026/7/31,3,2,俵積田,Right,細谷,Left,2,0,1,Fastball,BallCalled,,,,
8,2026/7/31,3,3,俵積田,Right,細谷,Left,2,1,1,Fastball,InPlay,133,Double,LineDrive,
9,2026/7/31,4,1,俵積田,Right,片岡,Left,2,0,0,Slider,StrikeCalled,120,,,
10,2026/7/31,4,2,俵積田,Right,片岡,Left,2,0,1,ChangeUp,BallCalled,118,,,
11,2026/7/31,4,3,俵積田,Right,片岡,Left,2,1,1,Slider,StrikeCalled,119,,,
