PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
22,2026/7/23,5,1,安東,Right,茨木,Left,2,0,0,Fastball,StrikeSwinging,-,,
23,2026/7/23,5,2,安東,Right,茨木,Left,2,0,1,Slider,StrikeCalled,127,,
24,2026/7/23,5,3,安東,Right,茨木,Left,2,0,2,Fastball,StrikeSwinging,135,Out,
1,2026/7/23,1,1,俵積田,Right,舟橋,Right,0,0,0,Fastball,InPlay,127,Single,GroundBall
2,2026/7/23,2,1,俵積田,Right,小室,Right,0,0,0,Fastball,StrikeCalled,-,,
3,2026/7/23,2,2,俵積田,Right,小室,Right,0,0,1,Fastball,InPlay,128,Sacrifice,GroundBall
4,2026/7/23,3,1,俵積田,Right,秋田,Right,1,0,0,Slider,BallCalled,-,,
5,2026/7/23,3,2,俵積田,Right,秋田,Right,1,1,0,Fastball,FoulBallFieldable,-,Out,Popup
6,2026/7/23,4,1,俵積田,Right,佐藤寛,Left,2,0,0,ChangeUp,BallCalled,119,,
7,2026/7/23,4,2,俵積田,Right,佐藤寛,Left,2,1,0,Fastball,FoulBallFieldable,132,,
8,2026/7/23,4,3,俵積田,Right,佐藤寛,Left,2,1,1,ChangeUp,StrikeSwinging,120,,
9,2026/7/23,4,4,俵積田,Right,佐藤寛,Left,2,1,2,Fastball,StrikeCalled,130,Out,
1,2026/7/23,1,1,安東,Right,渡邊康,Right,0,0,0,Slider,StrikeCalled,126,,
2,2026/7/23,1,2,安東,Right,渡邊康,Right,0,0,1,Fastball,FoulBallFieldable,137,,
3,2026/7/23,1,3,安東,Right,渡邊康,Right,0,0,2,Slider,BallCalled,125,,
4,2026/7/23,1,4,安東,Right,渡邊康,Right,0,1,2,ChangeUp,InPlay,117,Out,FlyBall
5,2026/7/23,2,1,安東,Right,荘川,Left,1,0,0,Fastball,BallCalled,134,,
6,2026/7/23,2,2,安東,Right,荘川,Left,1,1,0,Fastball,InPlay,135,Out,GroundBall
7,2026/7/23,3,1,安東,Right,鈴木雅,Left,2,0,0,Fastball,InPlay,136,Double,FlyBall
8,2026/7/23,4,1,安東,Right,長渡,Right,2,0,0,Fastball,BallCalled,137,,
9,2026/7/23,4,2,安東,Right,長渡,Right,2,1,0,Fastball,InPlay,127,Out,FlyBall
1,2026/7/23,1,1,俵積田,Right,金子,Right,0,0,0,Curveball,StrikeCalled,104,,
2,2026/7/23,1,2,俵積田,Right,金子,Right,0,0,1,Fastball,InPlay,131,Out,Popup
3,2026/7/23,2,1,俵積田,Right,細谷,Left,1,0,0,Slider,BallCalled,118,,
4,2026/7/23,2,2,俵積田,Right,細谷,Left,1,1,0,Fastball,InPlay,132,Out,Popup
5,2026/7/23,3,1,俵積田,Right,山元,Right,2,0,0,Slider,StrikeCalled,112,,
6,2026/7/23,3,2,俵積田,Right,山元,Right,2,0,1,Curveball,BallCalled,108,,
7,2026/7/23,3,3,俵積田,Right,山元,Right,2,1,1,Fastball,FoulBallFieldable,127,,
8,2026/7/23,3,4,俵積田,Right,山元,Right,2,1,2,Slider,BallCalled,118,,
9,2026/7/23,3,5,俵積田,Right,山元,Right,2,2,2,Fastball,BallCalled,131,,
10,2026/7/23,3,6,俵積田,Right,山元,Right,2,3,2,Slider,BallCalled,120,Walk,
11,2026/7/23,4,1,俵積田,Right,西谷,Left,2,0,0,Fastball,InPlay,132,Out,FlyBall
1,2026/7/23,1,1,安東,Right,高橋隆,Left,0,0,0,Fastball,StrikeCalled,138,,
2,2026/7/23,1,2,安東,Right,高橋隆,Left,0,0,1,Slider,BallCalled,118,,
3,2026/7/23,1,3,安東,Right,高橋隆,Left,0,1,1,Slider,BallCalled,120,,
4,2026/7/23,1,4,安東,Right,高橋隆,Left,0,2,1,ChangeUp,BallCalled,129,,
5,2026/7/23,1,5,安東,Right,高橋隆,Left,0,3,1,Fastball,BallCalled,134,Walk,
6,2026/7/23,2,1,安東,Right,三澤,Right,0,0,0,Slider,StrikeCalled,114,,
7,2026/7/23,2,2,安東,Right,三澤,Right,0,0,1,Fastball,StrikeSwinging,131,,
8,2026/7/23,2,3,安東,Right,三澤,Right,0,0,2,Slider,BallCalled,124,,
9,2026/7/23,2,4,安東,Right,三澤,Right,0,1,2,Fastball,FoulBallFieldable,134,,
10,2026/7/23,2,5,安東,Right,三澤,Right,0,1,2,Slider,StrikeSwinging,119,Out,
11,2026/7/23,3,1,安東,Right,片岡,Left,1,0,0,Fastball,StrikeCalled,131,,
12,2026/7/23,3,2,安東,Right,片岡,Left,1,0,1,Fastball,BallCalled,130,,
13,2026/7/23,3,3,安東,Right,片岡,Left,1,1,1,ChangeUp,StrikeCalled,125,,
14,2026/7/23,3,4,安東,Right,片岡,Left,1,1,2,Fastball,BallCalled,134,,
15,2026/7/23,3,5,安東,Right,片岡,Left,1,2,2,Fastball,BallCalled,128,,
16,2026/7/23,3,6,安東,Right,片岡,Left,1,3,2,Fastball,StrikeSwinging,135,Out,
17,2026/7/23,4,1,安東,Right,大平,Left,2,0,0,Fastball,BallCalled,131,,
18,2026/7/23,4,2,安東,Right,大平,Right,2,1,0,Slider,InPlay,116,Out,Popup
1,2026/7/23,1,1,俵積田,Right,箭原,Left,0,0,0,Curveball,StrikeCalled,108,,
2,2026/7/23,1,2,俵積田,Right,箭原,Left,0,0,1,Fastball,InPlay,131,Out,FlyBall
3,2026/7/23,2,1,俵積田,Right,舟橋,Right,1,0,0,Slider,StrikeCalled,123,,
4,2026/7/23,2,2,俵積田,Right,舟橋,Right,1,0,1,Slider,StrikeCalled,117,,
5,2026/7/23,2,3,俵積田,Right,舟橋,Right,1,0,2,Slider,BallCalled,121,,
6,2026/7/23,2,4,俵積田,Right,舟橋,Right,1,1,2,Fastball,InPlay,132,Single,GroundBall
7,2026/7/23,3,1,俵積田,Right,小室,Right,1,0,0,Fastball,BallCalled,129,,
8,2026/7/23,3,2,俵積田,Right,小室,Right,1,1,0,ChangeUp,InPlay,123,Out,GroundBall
1,2026/7/23,1,1,安東,Right,茨木,Left,0,0,0,Curveball,BallCalled,113,,
2,2026/7/23,1,2,安東,Right,茨木,Left,0,1,0,Fastball,BallCalled,131,,
3,2026/7/23,1,3,安東,Right,茨木,Left,0,2,0,Fastball,InPlay,132,Out,Popup
4,2026/7/23,2,1,安東,Right,渡邊康,Right,1,0,0,ChangeUp,StrikeCalled,-,,
5,2026/7/23,2,2,安東,Right,渡邊康,Right,1,0,1,Fastball,BallCalled,-,HitByPitch,
6,2026/7/23,3,1,安東,Right,荘川,Left,1,0,0,Fastball,BallCalled,128,,
7,2026/7/23,3,2,安東,Right,荘川,Left,1,1,0,Fastball,BallCalled,135,,
8,2026/7/23,3,3,安東,Right,荘川,Left,1,2,0,Fastball,InPlay,126,FieldersChoice,LineDrive
9,2026/7/23,4,1,安東,Right,鈴木雅,Left,2,0,0,Slider,BallCalled,123,HitByPitch,
1,2026/7/23,1,1,毛木,Left,長渡,Right,2,0,0,Slider,StrikeCalled,-,,
2,2026/7/23,1,2,毛木,Left,長渡,Right,2,0,1,Fastball,BallCalled,-,,
3,2026/7/23,1,3,毛木,Left,長渡,Right,2,1,1,Slider,BallCalled,-,,
4,2026/7/23,1,4,毛木,Left,長渡,Right,2,2,1,Fastball,StrikeSwinging,122,,
5,2026/7/23,1,5,毛木,Left,長渡,Right,2,2,2,Fastball,StrikeSwinging,124,Out,
1,2026/7/23,1,1,俵積田,Right,秋田,Right,0,0,0,Fastball,StrikeCalled,126,,
2,2026/7/23,1,2,俵積田,Right,秋田,Right,0,0,1,Fastball,InPlay,-,Out,GroundBall
