PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
12,2026/7/11,5,3,安田,Right,大内,Left,1,1,1,Fastball,InPlay,136,Out,GroundBall
13,2026/7/11,6,1,安田,Right,坂口,Right,2,0,0,ChangeUp,StrikeSwinging,112,,
14,2026/7/11,6,2,安田,Right,坂口,Right,2,0,1,ChangeUp,FoulBallFieldable,109,,
15,2026/7/11,6,3,安田,Right,坂口,Right,2,0,2,Curveball,BallCalled,103,,
16,2026/7/11,6,4,安田,Right,坂口,Right,2,1,2,Fastball,BallCalled,135,,
17,2026/7/11,6,5,安田,Right,坂口,Right,2,2,2,TwoSeamFastball,FoulBallFieldable,,,
18,2026/7/11,6,6,安田,Right,坂口,Right,2,2,2,Fastball,StrikeSwinging,134,Strikeout,
1,2026/7/11,1,1,岡村,Right,大平,Right,0,0,0,Cutter,InPlay,119,Out,GroundBall
2,2026/7/11,2,1,岡村,Right,髙橋海,Right,1,0,0,Fastball,StrikeCalled,132,,
3,2026/7/11,2,2,岡村,Right,髙橋海,Right,1,0,1,Cutter,BallCalled,121,,
4,2026/7/11,2,3,岡村,Right,髙橋海,Right,1,1,1,Fastball,InPlay,135,Out,FlyBall
5,2026/7/11,3,1,岡村,Right,中村俊,Left,2,0,0,Curveball,StrikeCalled,108,,
6,2026/7/11,3,2,岡村,Right,中村俊,Left,2,0,1,ChangeUp,StrikeSwinging,122,,
7,2026/7/11,3,3,岡村,Right,中村俊,Left,2,0,2,ChangeUp,BallCalled,123,,
8,2026/7/11,3,4,岡村,Right,中村俊,Left,2,1,2,Cutter,InPlay,123,Out,GroundBall
1,2026/7/11,1,1,安田,Right,阿部,Left,0,0,0,TwoSeamFastball,BallCalled,121,,
2,2026/7/11,1,2,安田,Right,阿部,Left,0,1,0,TwoSeamFastball,StrikeSwinging,118,,
3,2026/7/11,1,3,安田,Right,阿部,Left,0,1,1,Fastball,InPlay,,Out,GroundBall
4,2026/7/11,2,1,安田,Right,山根,Right,1,0,0,TwoSeamFastball,FoulBallFieldable,120,,
