PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
16,2026/8/2,5,1,千葉,Left,石松,Left,2,0,0,Slider,InPlay,108,Out,GroundBall
1,2026/8/2,1,1,中村心,Left,岩﨑遼,Right,0,0,0,Fastball,BallCalled,141,,
2,2026/8/2,1,2,中村心,Left,岩﨑遼,Right,0,1,0,Fastball,StrikeCalled,140,,
3,2026/8/2,1,3,中村心,Left,岩﨑遼,Right,0,1,1,Fastball,StrikeCalled,141,,
4,2026/8/2,1,4,中村心,Left,岩﨑遼,Right,0,1,2,Fastball,FoulBallFieldable,,,
5,2026/8/2,1,5,中村心,Left,岩﨑遼,Right,0,1,2,Fastball,StrikeSwinging,142,Out,
6,2026/8/2,2,1,中村心,Left,岡西,Left,1,0,0,Cutter,BallCalled,133,,
7,2026/8/2,2,2,中村心,Left,岡西,Left,1,1,0,Cutter,StrikeCalled,132,,
8,2026/8/2,2,3,中村心,Left,岡西,Left,1,1,1,Fastball,FoulBallFieldable,135,,
9,2026/8/2,2,4,中村心,Left,岡西,Left,1,1,2,Cutter,InPlay,129,Out,GroundBall
10,2026/8/2,3,1,中村心,Left,大平,Right,2,0,0,Fastball,BallCalled,135,,
11,2026/8/2,3,2,中村心,Left,大平,Right,2,1,0,Fastball,BallCalled,134,,
12,2026/8/2,3,3,中村心,Left,大平,Right,2,2,0,Fastball,InPlay,140,Single,GroundBall
13,2026/8/2,4,1,中村心,Left,片岡,Left,2,0,0,Fastball,StrikeCalled,141,,
14,2026/8/2,4,2,中村心,Left,片岡,Left,2,0,1,Fastball,BallCalled,,,
15,2026/8/2,4,3,中村心,Left,片岡,Left,2,1,1,Cutter,BallCalled,129,,
16,2026/8/2,4,4,中村心,Left,片岡,Left,2,2,1,Slider,BallCalled,,,
17,2026/8/2,4,5,中村心,Left,片岡,Left,2,3,1,Slider,StrikeCalled,118,,
18,2026/8/2,4,6,中村心,Left,片岡,Left,2,3,2,Fastball,InPlay,138,Error,GroundBall
19,2026/8/2,5,1,中村心,Left,渡邊康,Right,2,0,0,Cutter,BallCalled,140,,
20,2026/8/2,5,2,中村心,Left,渡邊康,Right,2,1,0,Cutter,StrikeCalled,132,,
21,2026/8/2,5,3,中村心,Left,渡邊康,Right,2,1,1,Fastball,InPlay,140,Double,FlyBall
22,2026/8/2,6,1,中村心,Left,茨木,Left,2,0,0,Fastball,BallCalled,137,,
23,2026/8/2,6,2,中村心,Left,茨木,Left,2,1,0,Fastball,StrikeCalled,133,,
24,2026/8/2,6,3,中村心,Left,茨木,Left,2,1,1,Cutter,InPlay,130,Single,LineDrive
25,2026/8/2,7,1,中村心,Left,髙橋隆,Left,2,0,0,Fastball,StrikeCalled,135,,
26,2026/8/2,7,2,中村心,Left,髙橋隆,Left,2,0,1,Fastball,BallCalled,134,,
27,2026/8/2,7,3,中村心,Left,髙橋隆,Left,2,1,1,Cutter,StrikeCalled,137,,
28,2026/8/2,7,4,中村心,Left,髙橋隆,Left,2,1,2,Fastball,InPlay,136,Out,GroundBall
1,2026/8/2,1,1,千葉,Left,小室,Right,0,0,0,Slider,StrikeCalled,,,
2,2026/8/2,1,2,千葉,Left,小室,Right,0,0,1,ChangeUp,BallCalled,105,,
3,2026/8/2,1,3,千葉,Left,小室,Right,0,1,1,Curveball,BallCalled,99,,
4,2026/8/2,1,4,千葉,Left,小室,Right,0,2,1,Fastball,FoulBallFieldable,123,,
5,2026/8/2,1,5,千葉,Left,小室,Right,0,2,2,ChangeUp,InPlay,105,Out,GroundBall
6,2026/8/2,2,1,千葉,Left,今野,Right,1,0,0,Slider,StrikeCalled,,,
7,2026/8/2,2,2,千葉,Left,今野,Right,1,0,1,ChangeUp,StrikeCalled,105,,
8,2026/8/2,2,3,千葉,Left,今野,Right,1,0,2,Fastball,BallCalled,129,,
9,2026/8/2,2,4,千葉,Left,今野,Right,1,1,2,ChangeUp,BallCalled,104,,
10,2026/8/2,2,5,千葉,Left,今野,Right,1,2,2,Fastball,BallCalled,124,,
11,2026/8/2,2,6,千葉,Left,今野,Right,1,3,2,ChangeUp,BallCalled,108,Walk,
12,2026/8/2,3,1,千葉,Left,野田,Left,1,0,0,Slider,BallCalled,119,,
13,2026/8/2,3,2,千葉,Left,野田,Left,1,1,0,Slider,StrikeCalled,104,,
14,2026/8/2,3,3,千葉,Left,野田,Left,1,1,1,Curveball,FoulBallFieldable,101,,
15,2026/8/2,3,4,千葉,Left,野田,Left,1,1,2,ChangeUp,InPlay,108,Out,FlyBall
16,2026/8/2,4,1,千葉,Left,新井,Left,2,0,0,Curveball,StrikeSwinging,,,
17,2026/8/2,4,2,千葉,Left,新井,Left,2,0,1,Fastball,BallCalled,124,,
18,2026/8/2,4,3,千葉,Left,新井,Left,2,1,1,ChangeUp,BallCalled,108,,
19,2026/8/2,4,4,千葉,Left,新井,Left,2,2,1,ChangeUp,BallCalled,104,,
20,2026/8/2,4,5,千葉,Left,新井,Left,2,3,1,Fastball,BallCalled,121,Walk,
1,2026/8/2,1,1,足達,Right,髙橋海,Right,0,0,0,Slider,BallCalled,117,,
2,2026/8/2,1,2,足達,Right,髙橋海,Right,0,1,0,Slider,StrikeCalled,104,,
3,2026/8/2,1,3,足達,Right,髙橋海,Right,0,1,1,Fastball,InPlay,,Double,FlyBall
4,2026/8/2,2,1,足達,Right,小松騎,Left,0,0,0,Slider,BallCalled,107,,
5,2026/8/2,2,2,足達,Right,小松騎,Left,0,1,0,Fastball,InPlay,126,Single,LineDrive
6,2026/8/2,3,1,足達,Right,寺尾,Right,0,0,0,Cutter,InPlay,118,Single,GroundBall
7,2026/8/2,4,1,足達,Right,中村吏,Right,0,0,0,Cutter,StrikeCalled,120,,
8,2026/8/2,4,2,足達,Right,中村吏,Right,0,0,1,Fastball,InPlay,132,Out,FlyBall
1,2026/8/2,1,1,中村心,Left,江﨑,Left,0,0,0,Fastball,StrikeCalled,,,
2,2026/8/2,1,2,中村心,Left,江﨑,Left,0,0,1,ChangeUp,BallCalled,131,,
3,2026/8/2,1,3,中村心,Left,江﨑,Left,0,1,1,Fastball,BallCalled,,,
4,2026/8/2,1,4,中村心,Left,江﨑,Left,0,2,1,Cutter,InPlay,125,Out,FlyBall
5,2026/8/2,2,1,中村心,Left,津田,Left,1,0,0,Slider,BallCalled,110,,
6,2026/8/2,2,2,中村心,Left,津田,Left,1,1,0,Cutter,FoulBallFieldable,132,,
7,2026/8/2,2,3,中村心,Left,津田,Left,1,1,1,Cutter,BallCalled,127,,
8,2026/8/2,2,4,中村心,Left,津田,Left,1,2,1,Slider,BallCalled,121,,
9,2026/8/2,2,5,中村心,Left,津田,Left,1,3,1,Slider,InPlay,121,Out,FlyBall
10,2026/8/2,3,1,中村心,Left,岩﨑遼,Right,2,0,0,Fastball,StrikeCalled,141,,
11,2026/8/2,3,2,中村心,Left,岩﨑遼,Right,2,0,1,Slider,StrikeCalled,115,,
12,2026/8/2,3,3,中村心,Left,岩﨑遼,Right,2,0,2,Fastball,InPlay,,Single,LineDrive
13,2026/8/2,4,1,中村心,Left,大平　,Left,2,0,0,Fastball,BallCalled,,,
1,2026/8/2,1,1,足達,Right,石松,Left,0,1,0,Cutter,StrikeCalled,,,
