PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
10,2026/7/19,3,1,髙橋煌,Right,永田,Right,2,0,0,Curveball,StrikeCalled,115,,,
11,2026/7/19,3,2,髙橋煌,Right,永田,Right,2,0,1,Cutter,InPlay,129,Out,GroundBall,
1,2026/7/19,1,1,中村心,Left,渡辺,Right,0,0,0,Cutter,StrikeCalled,129,,,
2,2026/7/19,1,2,中村心,Left,渡辺,Right,0,0,1,Fastball,InPlay,141,Double,FlyBall,
3,2026/7/19,2,1,中村心,Left,丹羽,Left,0,0,0,Fastball,BallCalled,136,,,
4,2026/7/19,2,2,中村心,Left,丹羽,Left,0,1,0,Fastball,FoulBallFieldable,140,,Bunt,
5,2026/7/19,2,3,中村心,Left,丹羽,Left,0,1,1,Fastball,InPlay,140,Sacrifice,Bunt,
6,2026/7/19,3,1,中村心,Left,田澤,Left,1,0,0,Cutter,StrikeCalled,133,,,
7,2026/7/19,3,2,中村心,Left,田澤,Left,1,0,1,Cutter,InPlay,133,Sacrifice,FlyBall,
8,2026/7/19,4,1,中村心,Left,高井,Right,2,0,0,Fastball,BallCalled,143,,,
9,2026/7/19,4,2,中村心,Left,高井,Right,2,1,0,Fastball,BallCalled,145,,,
10,2026/7/19,4,3,中村心,Left,高井,Right,2,2,0,Fastball,InPlay,141,Out,FlyBall,
1,2026/7/19,1,1,小松一,Right,谷川,Left,0,0,0,Cutter,BallCalled,127,,,
2,2026/7/19,1,2,小松一,Right,谷川,Left,0,1,0,Cutter,FoulBallFieldable,130,,,
3,2026/7/19,1,3,小松一,Right,谷川,Left,0,1,1,Splitter,FoulBallFieldable,128,,,
4,2026/7/19,1,4,小松一,Right,谷川,Left,0,1,2,Cutter,BallCalled,131,,,
5,2026/7/19,1,5,小松一,Right,谷川,Left,0,2,2,Cutter,FoulBallFieldable,132,,,
6,2026/7/19,1,6,小松一,Right,谷川,Left,0,2,2,Fastball,BallCalled,141,,,
7,2026/7/19,1,7,小松一,Right,谷川,Left,0,3,2,Splitter,BallCalled,,Walk,,
8,2026/7/19,2,1,小松一,Right,松本,Right,0,0,0,Cutter,BallCalled,124,HitByPitch,,
9,2026/7/19,3,1,小松一,Right,山崎,Left,0,0,0,Fastball,StrikeSwinging,140,,,
10,2026/7/19,3,2,小松一,Right,山崎,Left,0,0,1,Fastball,StrikeCalled,141,,,
11,2026/7/19,3,3,小松一,Right,山崎,Left,0,0,2,Cutter,InPlay,132,Out,GroundBall,
12,2026/7/19,4,1,小松一,Right,坂井,Right,1,0,0,Cutter,FoulBallFieldable,,,,
13,2026/7/19,4,2,小松一,Right,坂井,Right,1,0,1,Fastball,FoulBallFieldable,141,,,
14,2026/7/19,4,3,小松一,Right,坂井,Right,1,0,2,Cutter,BallCalled,134,,,
15,2026/7/19,4,4,小松一,Right,坂井,Right,1,1,2,Cutter,InPlay,132,Out,GroundBall,
16,2026/7/19,5,1,小松一,Right,永田,Right,2,0,0,Fastball,BallCalled,138,,,
17,2026/7/19,5,2,小松一,Right,永田,Right,2,1,0,Fastball,BallCalled,139,,,
18,2026/7/19,5,3,小松一,Right,永田,Right,2,2,0,Cutter,BallCalled,131,,,
19,2026/7/19,5,4,小松一,Right,永田,Right,2,3,0,Fastball,BallCalled,,HitByPitch,,
20,2026/7/19,6,1,小松一,Right,渡辺,Right,2,0,0,Fastball,StrikeSwinging,139,,,
21,2026/7/19,6,2,小松一,Right,渡辺,Right,2,0,1,Cutter,InPlay,130,Out,GroundBall,
1,2026/7/19,1,1,香西,Left,丹羽,Left,0,0,0,Cutter,BallCalled,,,,
2,2026/7/19,1,2,香西,Left,丹羽,Left,0,1,0,Fastball,FoulBallFieldable,135,,,
3,2026/7/19,1,3,香西,Left,丹羽,Left,0,1,1,Fastball,InPlay,,Out,FlyBall,
4,2026/7/19,2,1,香西,Left,田澤,Left,1,0,0,Fastball,BallCalled,135,,,
5,2026/7/19,2,2,香西,Left,田澤,Left,1,1,0,Cutter,InPlay,127,Single,LineDrive,
6,2026/7/19,3,1,香西,Left,高井,Right,1,0,0,Fastball,BallCalled,133,,,
7,2026/7/19,3,2,香西,Left,高井,Right,1,1,0,Fastball,StrikeCalled,134,,,
8,2026/7/19,3,3,香西,Left,高井,Right,1,1,1,Fastball,FoulBallFieldable,,,,
9,2026/7/19,3,4,香西,Left,高井,Right,1,1,2,Fastball,StrikeCalled,,Strikeout,,
10,2026/7/19,4,1,香西,Left,谷川,Left,2,0,0,Fastball,InPlay,,Out,GroundBall,
1,2026/7/19,1,1,安田,Right,松本,Right,0,0,0,ChangeUp,StrikeCalled,118,,,
2,2026/7/19,1,2,安田,Right,松本,Right,0,0,1,TwoSeamFastball,BallCalled,121,,,
3,2026/7/19,1,3,安田,Right,松本,Right,0,1,1,ChangeUp,FoulBallFieldable,104,,,
