PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
10,2026/9/5,5,1,山田翔,Left,2,Left,2,0,0,Fastball,FoulBallFieldable,128,,,
11,2026/9/5,1,2,山田翔,Left,2,Left,0,0,0,Slider,StrikeSwinging,111,,,
12,2026/9/5,1,3,山田翔,Left,2,Left,0,0,1,Fastball,BallCalled,129,,,
13,2026/9/5,1,4,山田翔,Left,2,Left,0,1,1,Fastball,BallCalled,128,,,
14,2026/9/5,1,5,山田翔,Left,2,Left,0,2,1,Fastball,BallCalled,126,,,
15,2026/9/5,1,6,山田翔,Left,2,Left,0,3,1,Slider,StrikeCalled,113,,,
16,2026/9/5,1,7,山田翔,Left,2,Left,0,3,2,Slider,InPlay,114,Out,GroundBall,
17,2026/9/5,2,1,山田翔,Left,3,Right,1,0,0,Slider,StrikeCalled,119,,,
18,2026/9/5,2,2,山田翔,Left,3,Right,1,0,1,Fastball,BallCalled,133,,,
19,2026/9/5,2,3,山田翔,Left,3,Right,1,1,1,Slider,InPlay,119,Single,LineDrive,
20,2026/9/5,3,1,山田翔,Left,4,Left,1,0,0,Slider,BallCalled,,,,
21,2026/9/5,3,2,山田翔,Left,4,Left,1,1,0,Fastball,FoulBallFieldable,,,,
22,2026/9/5,3,3,山田翔,Left,4,Left,1,1,1,Fastball,BallCalled,132,HitByPitch,,
23,2026/9/5,4,1,山田翔,Left,5,Left,1,0,0,Fastball,BallCalled,129,,,
24,2026/9/5,4,2,山田翔,Left,5,Left,1,1,0,Slider,StrikeSwinging,117,,,
25,2026/9/5,4,3,山田翔,Left,5,Left,1,1,1,Slider,BallCalled,121,,,
26,2026/9/5,4,4,山田翔,Left,5,Left,1,2,1,Slider,StrikeCalled,118,,,
27,2026/9/5,4,5,山田翔,Left,5,Left,1,2,2,Fastball,InPlay,127,Out,FlyBall,
28,2026/9/5,5,1,山田翔,Left,6,Left,2,0,0,Slider,BallCalled,112,,,
29,2026/9/5,5,2,山田翔,Left,6,Left,2,1,0,Fastball,BallCalled,127,,,
30,2026/9/5,5,3,山田翔,Left,6,Left,2,2,0,Slider,StrikeSwinging,120,,,
31,2026/9/5,5,4,山田翔,Left,6,Left,2,2,1,Slider,BallCalled,113,,,
32,2026/9/5,5,5,山田翔,Left,6,Left,2,3,1,Slider,InPlay,115,Out,GroundBall,
